global_idx,entropy,correct,set_size,is_multi,loc_score
7349,0.106999636,1,1,0,0.6995580196380615
7352,0.31358832,1,1,0,0.6345018744468689
7353,0.5501685,1,2,1,0.5851428508758545
7354,0.6053762,1,2,1,0.6971139311790466
7360,0.5279763,0,2,1,0.5124245882034302
7362,0.17754166,1,1,0,0.7330269813537598
7363,0.25159,1,1,0,0.47777315974235535
7364,0.26891497,1,1,0,0.692102313041687
7365,0.2048289,1,1,0,0.7470261454582214
7369,0.36123562,1,1,0,0.8770560622215271
7370,0.37880877,1,1,0,0.3783144950866699
7371,0.20806882,1,1,0,0.5241495966911316
7377,0.24018137,1,1,0,0.4902169704437256
7380,0.15855972,1,1,0,0.6882600784301758
7381,0.71684986,1,2,1,0.4310922920703888
7384,0.52684975,1,2,1,0.6717807054519653
7386,0.42351595,1,1,0,0.594548761844635
7387,0.19715188,1,1,0,0.707476794719696
7388,0.6655019,1,2,1,0.658768892288208
7391,0.31930324,1,1,0,0.6948626041412354
7394,0.24790801,1,1,0,0.7713964581489563
7395,0.41975838,1,1,0,0.6837332248687744
7398,0.71895874,1,2,1,0.5474249720573425
7399,0.5729168,1,2,1,0.7847697734832764
7400,0.2072347,1,1,0,0.6784611940383911
7401,0.19950864,1,1,0,0.6018391847610474
7407,0.25957745,1,1,0,0.7263779044151306
7408,0.16902514,1,1,0,0.5945703387260437
7411,0.31051648,0,1,0,0.33515462279319763
7413,0.31174916,1,1,0,0.596953809261322
7417,0.04858453,1,1,0,0.6879163980484009
7418,0.46838143,1,1,0,0.5782003998756409
7419,0.3336017,1,1,0,0.6537331938743591
7421,0.33058777,1,1,0,0.7039014101028442
7422,0.43881774,1,1,0,0.5508063435554504
7423,0.47447655,1,1,0,0.6857073903083801
7426,0.5000592,1,1,0,0.6717349290847778
7427,0.26227656,1,1,0,0.6441120505332947
7438,0.35881335,1,1,0,0.7697327136993408
7439,0.6355984,0,2,1,0.5370906591415405
7443,0.18240872,1,1,0,0.6112242937088013
7445,0.31224683,1,1,0,0.6461126208305359
7446,0.4559186,1,1,0,0.6020919680595398
7448,0.4800006,1,1,0,0.6624775528907776
7449,0.71778846,1,2,1,0.5684789419174194
7451,0.16330579,1,1,0,0.7883691787719727
7454,0.3079632,1,1,0,0.4530726373195648
7455,0.29741016,1,1,0,0.21839255094528198
7460,0.5817136,1,2,1,0.61629319190979
7461,0.3602206,1,1,0,0.8221265077590942
7462,0.17673737,1,1,0,0.7737697958946228
7464,0.24512282,1,1,0,0.7178128957748413
7469,0.1704467,1,1,0,0.798488438129425
7477,0.39024812,1,1,0,0.5393180251121521
7482,0.121449195,1,1,0,0.7235485911369324
7487,0.32043988,1,1,0,0.7875338792800903
7488,0.7042712,1,2,1,0.4766087234020233
7489,0.22734877,1,1,0,0.7878391742706299
7492,0.38006595,1,1,0,0.7033730149269104
7493,0.34524372,1,1,0,0.716985285282135
7494,0.17487472,1,1,0,0.7966057062149048
7495,0.30413598,1,1,0,0.6718541979789734
7496,0.45479783,1,1,0,0.5440208315849304
7500,0.15060998,1,1,0,0.6037236452102661
7505,0.4725624,1,1,0,0.7157666087150574
7506,0.18464664,1,1,0,0.6706485748291016
7507,0.23325829,1,1,0,0.5254719853401184
7508,0.21184033,1,1,0,0.7330825328826904
7513,0.1572761,1,1,0,0.5634821057319641
7514,0.4939905,1,1,0,0.5664168000221252
7515,0.14186378,1,1,0,0.45428624749183655
7516,0.5984833,0,1,0,0.6480283737182617
7526,0.265442,1,1,0,0.7339644432067871
7527,0.6809317,1,2,1,0.691002368927002
7528,0.6402305,1,2,1,0.7837070822715759
7530,0.45334342,1,1,0,0.3963949680328369
7534,0.41504267,1,1,0,0.5210171937942505
7540,0.5917468,1,2,1,0.6660553216934204
7544,0.6150518,1,2,1,0.44574975967407227
7546,0.08172222,0,1,0,0.0
7550,0.56996894,1,2,1,0.8018225431442261
7552,0.2495196,1,1,0,0.7517728805541992
7556,0.09728159,1,1,0,0.6741518378257751
7558,0.4681941,1,1,0,0.6819771528244019
7561,0.10120216,0,1,0,0.0
7563,0.308381,1,1,0,0.705963671207428
7564,0.34094948,0,1,0,0.9731049537658691
7568,0.44698045,1,1,0,0.7634310126304626
7572,0.19398709,1,1,0,0.6013088822364807
7573,0.44386983,0,1,0,0.9741324782371521
7574,0.2934606,1,1,0,0.7672731280326843
7577,0.69656,0,2,1,0.7444483041763306
7580,0.34584624,1,1,0,0.7034399509429932
7581,0.08334662,1,1,0,0.6942490935325623
7582,0.124472104,1,1,0,0.7520219683647156
7583,0.5080723,1,1,0,0.47084474563598633
7585,0.40989676,1,1,0,0.5470160245895386
7590,0.585208,1,2,1,0.5103020668029785
7597,0.18608941,1,1,0,0.5850997567176819
7601,0.19782296,1,1,0,0.6864904761314392
7605,0.10860751,1,1,0,0.6435722708702087
7608,0.036558174,1,1,0,0.7071278095245361
7610,0.532858,1,2,1,0.7379167675971985
7612,0.12284125,1,1,0,0.7042161822319031
7618,0.61361426,1,2,1,0.6193874478340149
7620,0.48287305,1,1,0,0.5466649532318115
7622,0.69976735,0,2,1,0.7883102297782898
7624,0.3323927,1,1,0,0.610364556312561
7625,0.5901596,1,2,1,0.6847992539405823
7628,0.20898128,1,1,0,0.5288176536560059
7631,0.06481048,1,1,0,0.6820993423461914
7632,0.21716268,1,1,0,0.5223703980445862
7635,0.16971779,1,1,0,0.4094677269458771
7637,0.39901814,1,1,0,0.4802209734916687
7638,0.42619237,1,1,0,0.6514983177185059
7639,0.483353,1,1,0,0.7872639298439026
7640,0.5104126,1,1,0,0.6254559755325317
7642,0.43927854,1,1,0,0.7979604601860046
7646,0.54023504,1,2,1,0.4759325683116913
7649,0.31731004,1,1,0,0.8114160299301147
7650,0.20550111,1,1,0,0.49052125215530396
7651,0.14931463,1,1,0,0.7544026970863342
7656,0.34417403,1,1,0,0.7779161334037781
7658,0.5033011,1,2,1,0.6483293771743774
7661,0.65565246,1,2,1,0.6132335662841797
7666,0.36933056,1,1,0,0.46477243304252625
7667,0.12598284,1,1,0,0.5559009909629822
7671,0.1232779,1,1,0,0.6790774464607239
7674,0.25466627,1,1,0,0.5221973657608032
7676,0.1242374,1,1,0,0.6888129711151123
7677,0.52590156,1,2,1,0.5651219487190247
7678,0.7007388,1,2,1,0.5891405940055847
7680,0.52391833,1,2,1,0.7745073437690735
7681,0.2912792,1,1,0,0.7559364438056946
7683,0.28495654,1,1,0,0.6943199634552002
7688,0.404607,1,1,0,0.6148881912231445
7689,0.64556736,0,2,1,0.4595920145511627
7691,0.3412401,1,1,0,0.5287325382232666
7692,0.7220441,0,2,1,0.7039127945899963
7695,0.70991623,1,2,1,0.8868643045425415
7699,0.34618706,1,1,0,0.5847498774528503
7702,0.312845,1,1,0,0.778564989566803
7703,0.31449816,1,1,0,0.7830234169960022
7706,0.47984067,1,1,0,0.5816171169281006
7708,0.3402973,1,1,0,0.7144074440002441
7711,0.26508018,1,1,0,0.5923543572425842
7714,0.26606834,1,1,0,0.4729308784008026
7716,0.19794159,1,1,0,0.7692054510116577
7717,0.3503547,1,1,0,0.5458465814590454
7719,0.37854338,1,1,0,0.652320921421051
7723,0.38854018,1,1,0,0.6814754605293274
7725,0.20596297,1,1,0,0.7611886262893677
7726,0.22098501,1,1,0,0.7222460508346558
7728,0.107720554,1,1,0,0.7340753078460693
7729,0.5971907,1,2,1,0.5956002473831177
7730,0.519992,1,2,1,0.6017323732376099
7731,0.24855804,1,1,0,0.6298676133155823
7733,0.42473552,1,1,0,0.5219196677207947
7734,0.3139587,0,1,0,0.11255718022584915
7741,0.5290471,1,2,1,0.7703267931938171
7742,0.44315356,1,1,0,0.7516713738441467
7745,0.4846495,1,1,0,0.7666381001472473
7748,0.63522315,1,2,1,0.5178757905960083
7749,0.15670744,1,1,0,0.7731176614761353
7751,0.44029176,1,1,0,0.7888102531433105
7752,0.34872222,1,1,0,0.8146612048149109
7753,0.55958855,1,2,1,0.46023231744766235
7754,0.3208199,1,1,0,0.7919573783874512
7756,0.16173181,1,1,0,0.7980074286460876
7757,0.3850366,0,1,0,0.22689276933670044
7760,0.22723094,1,1,0,0.8036719560623169
7763,0.6838376,1,2,1,0.7748339176177979
7765,0.6684087,1,2,1,0.7459972500801086
7768,1.0046979,0,2,1,0.06182276830077171
7771,0.34844348,1,1,0,0.6589357256889343
7772,0.17376286,1,1,0,0.6180917024612427
7774,0.32198888,1,1,0,0.3892282247543335
7777,0.4250505,1,1,0,0.7352749109268188
7778,0.70250154,1,2,1,0.5497969388961792
7781,0.3735891,1,1,0,0.8037158250808716
7783,0.42352748,1,1,0,0.5676396489143372
7787,0.29438233,1,1,0,0.8176616430282593
7796,0.33797362,1,1,0,0.6180282831192017
7799,0.56956124,1,2,1,0.4255330562591553
7801,0.3820259,1,1,0,0.5158097147941589
7803,0.26496714,1,1,0,0.5744874477386475
7804,0.4246232,1,1,0,0.6415187120437622
7805,0.69651324,1,2,1,0.7833759188652039
7806,0.46904334,1,1,0,0.5364106893539429
7807,0.19538721,1,1,0,0.7526496648788452
7815,0.6487786,1,2,1,0.7282535433769226
7817,0.55907756,1,2,1,0.6840074062347412
7820,0.54268146,0,1,0,0.5998618602752686
7822,0.46528587,1,1,0,0.758209764957428
7825,0.55935556,1,2,1,0.6117183566093445
7826,0.30745536,1,1,0,0.6466976404190063
7827,0.64482665,1,2,1,0.5339438319206238
7829,0.27492025,1,1,0,0.6653997302055359
7837,0.22951065,1,1,0,0.5593230128288269
7838,0.70234525,0,2,1,0.6348013281822205
7839,0.557866,1,1,0,0.3247462809085846
7840,0.30055442,1,1,0,0.795885443687439
7846,0.606921,1,2,1,0.5956514477729797
7847,0.17223094,1,1,0,0.4981963038444519
7849,0.63601804,1,2,1,0.6780506372451782
7851,0.57027364,0,2,1,0.5214899778366089
7857,0.30674842,1,1,0,0.7662941813468933
7860,0.34157348,1,1,0,0.694990336894989
7863,0.4711857,1,1,0,0.6276547312736511
7864,0.59133124,1,2,1,0.6751388311386108
7867,0.078409344,1,1,0,0.7375515699386597
7868,0.4194932,1,1,0,0.6685421466827393
7874,0.30611393,1,1,0,0.7561755776405334
7875,0.25681365,1,1,0,0.5029322504997253
7878,0.15706742,1,1,0,0.6926575303077698
7881,0.15182857,1,1,0,0.5507463216781616
7882,0.3883515,1,1,0,0.5517144799232483
7884,0.47024012,1,1,0,0.5069026947021484
7885,0.45122465,1,1,0,0.7703580856323242
7889,0.7337981,0,2,1,0.7936623692512512
7891,0.13803367,1,1,0,0.6366777420043945
7894,0.17731328,1,1,0,0.7333224415779114
7900,0.3108093,1,1,0,0.6467780470848083
7901,0.2559822,1,1,0,0.6057347059249878
7906,0.7143351,1,2,1,0.549496591091156
7908,0.54896283,1,2,1,0.5618253946304321
7920,0.41489607,1,1,0,0.7385265827178955
7923,0.34113342,1,1,0,0.5984798073768616
7924,0.24948423,1,1,0,0.4866347014904022
7925,0.28013942,1,1,0,0.7501009106636047
7926,0.7165853,1,2,1,0.861703634262085
