true_class,true_cls_nm,pred_set,set_size,covered,is_multi,global_idx,pairing_group,entropy,confidence,loc_score
2,DRUSEN,['DRUSEN'],1,1,0,7349,Singleton,0.106999636,0.97855765,0.6995580196380615
2,DRUSEN,['DRUSEN'],1,1,0,7352,Singleton,0.31358832,0.9067015,0.6345018744468689
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7353,CNV_DRUSEN,0.5501685,0.7671767,0.5851428508758545
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7354,CNV_DRUSEN,0.6053762,0.7157138,0.6971139311790466
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7360,CNV_DRUSEN,0.5279763,0.797896,0.5124245882034302
2,DRUSEN,['DRUSEN'],1,1,0,7362,Singleton,0.17754166,0.9586185,0.7330269813537598
2,DRUSEN,['DRUSEN'],1,1,0,7363,Singleton,0.25159,0.9318508,0.47777315974235535
2,DRUSEN,['DRUSEN'],1,1,0,7364,Singleton,0.26891497,0.9453167,0.692102313041687
2,DRUSEN,['DRUSEN'],1,1,0,7365,Singleton,0.2048289,0.94862664,0.7470261454582214
2,DRUSEN,['DRUSEN'],1,1,0,7369,Singleton,0.36123562,0.9129424,0.8770560622215271
2,DRUSEN,['DRUSEN'],1,1,0,7370,Singleton,0.37880877,0.88020766,0.3783144950866699
2,DRUSEN,['DRUSEN'],1,1,0,7371,Singleton,0.20806882,0.9479285,0.5241495966911316
2,DRUSEN,['DRUSEN'],1,1,0,7377,Singleton,0.24018137,0.93740577,0.4902169704437256
2,DRUSEN,['DRUSEN'],1,1,0,7380,Singleton,0.15855972,0.96309423,0.6882600784301758
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7381,CNV_DRUSEN,0.71684986,0.5605516,0.4310922920703888
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7384,DRUSEN_NORMAL,0.52684975,0.79223007,0.6717807054519653
2,DRUSEN,['DRUSEN'],1,1,0,7386,Singleton,0.42351595,0.8706965,0.594548761844635
2,DRUSEN,['DRUSEN'],1,1,0,7387,Singleton,0.19715188,0.9526392,0.707476794719696
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7388,DRUSEN_NORMAL,0.6655019,0.6453211,0.658768892288208
2,DRUSEN,['DRUSEN'],1,1,0,7391,Singleton,0.31930324,0.90315825,0.6948626041412354
2,DRUSEN,['DRUSEN'],1,1,0,7394,Singleton,0.24790801,0.93237704,0.7713964581489563
2,DRUSEN,['DRUSEN'],1,1,0,7395,Singleton,0.41975838,0.88468575,0.6837332248687744
