Metric,Test,Statistic,P_Value
entropy,Kruskal-Wallis (3-group),284.0147932479331,2.1231039423807636e-62
entropy,Singleton vs CNV_DRUSEN,80.0,7.317503395527596e-46
entropy,Singleton vs DRUSEN_NORMAL,20.0,2.1732391459582022e-26
entropy,CNV_DRUSEN vs DRUSEN_NORMAL,1208.0,0.007002833669992748
confidence,Kruskal-Wallis (3-group),285.8449654623339,8.502652107333403e-63
confidence,Singleton vs CNV_DRUSEN,32253.0,2.726499741654745e-46
confidence,Singleton vs DRUSEN_NORMAL,16510.0,1.6855413747696534e-26
confidence,CNV_DRUSEN vs DRUSEN_NORMAL,2169.0,0.19432855768637408
loc_score,Kruskal-Wallis (3-group),2.6010583535153393,0.27238761369495507
loc_score,Singleton vs CNV_DRUSEN,17655.0,0.5219152983279143
loc_score,Singleton vs DRUSEN_NORMAL,7777.0,1.0
loc_score,CNV_DRUSEN vs DRUSEN_NORMAL,1506.0,0.3811485332415292
