global_idx,entropy,correct,true_cls_nm,set_size,is_multi,loc_score
0,0.025262175,1,CNV,1,0,0.42339757084846497
1,0.14040005,1,CNV,1,0,0.3837240934371948
2,0.12850875,1,CNV,1,0,0.5649368762969971
3,0.06407608,1,CNV,1,0,0.587666392326355
7,0.53880155,1,CNV,1,0,0.5536852478981018
13,0.13359195,1,CNV,1,0,0.7281169891357422
14,0.009419166,1,CNV,1,0,0.604302167892456
15,0.085735574,1,CNV,1,0,0.5711277723312378
16,0.0970736,1,CNV,1,0,0.6556750535964966
19,0.23035696,1,CNV,1,0,0.45461970567703247
28,0.6796727,1,CNV,2,1,0.49821484088897705
29,0.08434009,1,CNV,1,0,0.47530555725097656
31,0.1582219,1,CNV,1,0,0.5618120431900024
33,0.06837478,1,CNV,1,0,0.7388724684715271
34,0.15393572,1,CNV,1,0,0.476230651140213
38,0.121274374,1,CNV,1,0,0.7103831171989441
39,0.08079452,1,CNV,1,0,0.592438280582428
41,0.009405674,1,CNV,1,0,0.5309581756591797
49,0.09252765,1,CNV,1,0,0.2317585051059723
54,0.1362421,1,CNV,1,0,0.5837879180908203
57,0.15317486,1,CNV,1,0,0.5098509788513184
58,0.282802,1,CNV,1,0,0.7645005583763123
62,0.030630356,1,CNV,1,0,0.6452690362930298
63,0.036615264,1,CNV,1,0,0.644043505191803
65,0.19691032,1,CNV,1,0,0.6389207243919373
66,0.14556849,1,CNV,1,0,0.5943272709846497
67,0.20346254,1,CNV,1,0,0.5492541193962097
69,0.118850015,1,CNV,1,0,0.3066521883010864
71,0.037535574,1,CNV,1,0,0.5783373117446899
74,0.04440867,1,CNV,1,0,0.5385826230049133
75,0.017737042,1,CNV,1,0,0.6347084641456604
79,0.11926876,1,CNV,1,0,0.453974187374115
82,0.036471557,1,CNV,1,0,0.5846203565597534
84,0.44718516,1,CNV,1,0,0.35225895047187805
87,0.102965005,1,CNV,1,0,0.755954921245575
88,0.05256748,1,CNV,1,0,0.49929139018058777
94,0.023232045,1,CNV,1,0,0.38497310876846313
100,0.00954813,1,CNV,1,0,0.35640576481819153
101,0.12228271,1,CNV,1,0,0.7817851901054382
103,0.1354243,1,CNV,1,0,0.09794140607118607
105,0.15247986,1,CNV,1,0,0.7707149386405945
106,0.082744874,1,CNV,1,0,0.5584120750427246
109,0.06948651,1,CNV,1,0,0.6547559499740601
110,0.038642094,1,CNV,1,0,0.44728565216064453
113,0.098141074,1,CNV,1,0,0.6115844249725342
114,0.032376036,1,CNV,1,0,0.6057928204536438
118,0.43117934,1,CNV,1,0,0.4504925310611725
124,0.11116317,1,CNV,1,0,0.6908013224601746
127,0.078621216,1,CNV,1,0,0.5950009822845459
133,0.11193213,1,CNV,1,0,0.7352209687232971
134,0.023895903,1,CNV,1,0,0.4177250266075134
143,0.09790655,1,CNV,1,0,0.7075567245483398
144,0.066857316,1,CNV,1,0,0.39393875002861023
146,0.060392007,1,CNV,1,0,0.5659661889076233
147,0.0056979074,1,CNV,1,0,0.35548627376556396
148,0.022837015,1,CNV,1,0,0.5806249380111694
149,0.03434652,1,CNV,1,0,0.5301061272621155
150,0.058805063,1,CNV,1,0,0.6817529201507568
151,0.15065747,1,CNV,1,0,0.5027198195457458
160,0.015398981,1,CNV,1,0,0.5820102691650391
161,0.2557352,1,CNV,1,0,0.6225370168685913
162,0.016548648,1,CNV,1,0,0.6053019165992737
165,0.2740029,1,CNV,1,0,0.36347877979278564
167,0.012509121,1,CNV,1,0,0.4374507665634155
168,0.23656595,1,CNV,1,0,0.5852435231208801
169,0.042044517,1,CNV,1,0,0.6621741056442261
176,0.036278594,1,CNV,1,0,0.4611454904079437
177,0.01695842,1,CNV,1,0,0.3831607699394226
179,0.27904245,1,CNV,1,0,0.45735955238342285
180,0.06630394,1,CNV,1,0,0.7560836672782898
185,0.08014631,1,CNV,1,0,0.5452030301094055
187,0.27422455,1,CNV,1,0,0.5672577619552612
197,0.2852719,1,CNV,1,0,0.5311660766601562
199,0.18925671,1,CNV,1,0,0.5761170983314514
201,0.14912106,1,CNV,1,0,0.6192641854286194
210,0.028999038,1,CNV,1,0,0.3958229124546051
214,0.04794634,1,CNV,1,0,0.5129189491271973
215,0.05425376,1,CNV,1,0,0.7040936946868896
222,0.02828256,1,CNV,1,0,0.6102465987205505
223,0.15264294,1,CNV,1,0,0.4558558464050293
225,0.15347835,1,CNV,1,0,0.47042909264564514
227,0.10801609,1,CNV,1,0,0.8138322234153748
228,0.059645653,1,CNV,1,0,0.5537686944007874
231,0.28473645,1,CNV,1,0,0.7432292103767395
234,0.32482594,1,CNV,1,0,0.4032670259475708
236,0.26389444,1,CNV,1,0,0.5322718620300293
239,0.05515158,1,CNV,1,0,0.19889581203460693
241,0.035258163,1,CNV,1,0,0.46347323060035706
244,0.10658744,1,CNV,1,0,0.7055768966674805
245,0.11818838,1,CNV,1,0,0.42966198921203613
246,0.028191028,1,CNV,1,0,0.755535364151001
249,0.02205469,1,CNV,1,0,0.6238086819648743
254,0.019894332,1,CNV,1,0,0.6253502368927002
258,0.13594577,1,CNV,1,0,0.5647004246711731
259,0.019779691,1,CNV,1,0,0.2711063623428345
263,0.14509644,1,CNV,1,0,0.524690568447113
264,0.06659013,1,CNV,1,0,0.5081673860549927
265,0.19477215,1,CNV,1,0,0.5909378528594971
266,0.0038389845,1,CNV,1,0,0.3838678300380707
268,0.048824735,1,CNV,1,0,0.6331722736358643
271,0.065834396,1,CNV,1,0,0.456506609916687
278,0.052791964,1,CNV,1,0,0.4906083643436432
280,0.2085791,1,CNV,1,0,0.5800463557243347
281,0.17068405,1,CNV,1,0,0.5803192257881165
282,0.53765935,1,CNV,2,1,0.4920499920845032
285,0.077064455,1,CNV,1,0,0.23000091314315796
286,0.11325665,1,CNV,1,0,0.7620473504066467
288,0.05387587,1,CNV,1,0,0.5347077250480652
289,0.18298368,1,CNV,1,0,0.4768386483192444
294,0.18292299,1,CNV,1,0,0.38521531224250793
298,0.01602649,1,CNV,1,0,0.6398581266403198
299,0.04407907,1,CNV,1,0,0.608484148979187
301,0.30995122,1,CNV,1,0,0.7284855246543884
302,0.2443741,1,CNV,1,0,0.64108806848526
304,0.12987164,1,CNV,1,0,0.6969491243362427
305,0.03919126,1,CNV,1,0,0.49406492710113525
306,0.10051257,1,CNV,1,0,0.6787944436073303
309,0.060904652,1,CNV,1,0,0.8160766959190369
310,0.04924956,1,CNV,1,0,0.4179307222366333
312,0.0024338118,1,CNV,1,0,0.6203481554985046
314,0.16065514,1,CNV,1,0,0.7872829437255859
316,0.01743112,1,CNV,1,0,0.6640343070030212
317,0.01886655,1,CNV,1,0,0.34679338335990906
324,0.06131796,1,CNV,1,0,0.4332452714443207
325,0.14469354,1,CNV,1,0,0.48248013854026794
326,0.16152601,1,CNV,1,0,0.7359640002250671
330,0.008272034,1,CNV,1,0,0.5643201470375061
332,0.10490417,1,CNV,1,0,0.7495730519294739
334,0.5608569,0,CNV,2,1,0.5996821522712708
335,0.13284965,1,CNV,1,0,0.5872974395751953
338,0.05598469,1,CNV,1,0,0.4975537061691284
340,0.032056123,1,CNV,1,0,0.635074257850647
343,0.049129367,1,CNV,1,0,0.5525571703910828
344,0.087639436,1,CNV,1,0,0.6616437435150146
345,0.047709476,1,CNV,1,0,0.7035149335861206
346,0.08353964,1,CNV,1,0,0.5848088264465332
348,0.05080795,1,CNV,1,0,0.37492769956588745
353,0.10447359,1,CNV,1,0,0.5632442235946655
358,0.02208696,1,CNV,1,0,0.2693820297718048
360,0.023008915,1,CNV,1,0,0.5608049631118774
361,0.17281191,1,CNV,1,0,0.5615575313568115
367,0.02563343,1,CNV,1,0,0.8134243488311768
368,0.041730646,1,CNV,1,0,0.6872175335884094
375,0.25565568,1,CNV,1,0,0.5578842759132385
378,0.024360094,1,CNV,1,0,0.2693820297718048
380,0.0148507375,1,CNV,1,0,0.46600428223609924
384,0.07732692,1,CNV,1,0,0.5367361903190613
387,0.24854149,1,CNV,1,0,0.5854541063308716
390,0.12682275,1,CNV,1,0,0.6266255974769592
395,0.06934078,1,CNV,1,0,0.7763270139694214
396,0.0775313,1,CNV,1,0,0.6808518767356873
397,0.031802792,1,CNV,1,0,0.5830003023147583
399,0.17025991,1,CNV,1,0,0.6123813986778259
401,0.012484535,1,CNV,1,0,0.3575344383716583
403,0.1432276,1,CNV,1,0,0.702640950679779
405,0.15322007,1,CNV,1,0,0.5086721181869507
406,0.07887571,1,CNV,1,0,0.42008230090141296
412,0.09400448,1,CNV,1,0,0.652205765247345
413,0.4089241,1,CNV,1,0,0.4636134207248688
414,0.022975855,1,CNV,1,0,0.5297005772590637
415,0.13002025,1,CNV,1,0,0.6739307641983032
416,0.319356,1,CNV,1,0,0.6069494485855103
419,0.030920424,1,CNV,1,0,0.5284366011619568
420,0.1836713,1,CNV,1,0,0.5151119828224182
423,0.06771025,1,CNV,1,0,0.6243236660957336
429,0.11633866,1,CNV,1,0,0.7038341164588928
432,0.07186233,1,CNV,1,0,0.7296697497367859
433,0.028853958,1,CNV,1,0,0.8461835384368896
434,0.13497211,1,CNV,1,0,0.37062692642211914
435,0.027942063,1,CNV,1,0,0.5008484721183777
436,0.06473855,1,CNV,1,0,0.673129141330719
437,0.17251982,1,CNV,1,0,0.5648394227027893
439,0.028497085,1,CNV,1,0,0.6109901070594788
441,0.030369842,1,CNV,1,0,0.293536514043808
442,0.075384706,1,CNV,1,0,0.7809035778045654
447,0.15491445,1,CNV,1,0,0.6833162307739258
449,0.1823746,1,CNV,1,0,0.49737656116485596
454,0.05996282,1,CNV,1,0,0.5320531725883484
456,0.16773795,1,CNV,1,0,0.5585780143737793
466,0.07808937,1,CNV,1,0,0.6852356791496277
473,0.10999859,1,CNV,1,0,0.6493280529975891
478,0.014761435,1,CNV,1,0,0.36296772956848145
479,0.021267679,1,CNV,1,0,0.5555253028869629
486,0.10069062,1,CNV,1,0,0.7149347066879272
488,0.10004097,1,CNV,1,0,0.2894383668899536
489,0.11373943,1,CNV,1,0,0.6315203309059143
492,0.22889279,1,CNV,1,0,0.6449004411697388
494,0.091909856,1,CNV,1,0,0.6731469631195068
497,0.08284084,1,CNV,1,0,0.6781183481216431
498,0.25795743,1,CNV,1,0,0.6005845665931702
499,0.1977489,1,CNV,1,0,0.47024932503700256
500,0.10196506,1,CNV,1,0,0.49521008133888245
501,0.03478184,1,CNV,1,0,0.644156813621521
504,0.12571292,1,CNV,1,0,0.5711655020713806
511,0.16992278,1,CNV,1,0,0.8023873567581177
513,0.12839504,1,CNV,1,0,0.26747697591781616
514,0.04070991,1,CNV,1,0,0.5065340399742126
515,0.024097482,1,CNV,1,0,0.2624761462211609
516,0.13737608,1,CNV,1,0,0.7451757192611694
517,0.09033327,1,CNV,1,0,0.6216824054718018
520,0.11150388,1,CNV,1,0,0.6095412969589233
523,0.06488063,1,CNV,1,0,0.6086916923522949
527,0.14397225,1,CNV,1,0,0.6209222674369812
534,0.118452296,1,CNV,1,0,0.6861391067504883
535,0.04614191,1,CNV,1,0,0.1661168783903122
538,0.077802785,1,CNV,1,0,0.6707972288131714
539,0.256497,1,CNV,1,0,0.5880470871925354
546,0.04025062,1,CNV,1,0,0.5525961518287659
547,0.009822227,1,CNV,1,0,0.6852275133132935
550,0.2264025,1,CNV,1,0,0.5347049236297607
551,0.47027576,1,CNV,1,0,0.4861239492893219
553,0.13516001,1,CNV,1,0,0.36797162890434265
555,0.17803954,1,CNV,1,0,0.17738910019397736
557,0.033275258,1,CNV,1,0,0.5255330801010132
558,0.12968858,1,CNV,1,0,0.5983474850654602
559,0.038216718,1,CNV,1,0,0.5620383024215698
561,0.033978872,1,CNV,1,0,0.6372177600860596
573,0.047265153,1,CNV,1,0,0.5813090205192566
577,0.06420141,1,CNV,1,0,0.42327508330345154
578,0.10587729,1,CNV,1,0,0.5749654769897461
582,0.11436153,1,CNV,1,0,0.7304524779319763
583,0.017232917,1,CNV,1,0,0.44927749037742615
584,0.0503744,1,CNV,1,0,0.5038468241691589
585,0.10300849,1,CNV,1,0,0.6476486921310425
586,0.13771307,1,CNV,1,0,0.6083857417106628
587,0.09118383,1,CNV,1,0,0.3628503382205963
591,0.058096744,1,CNV,1,0,0.5886499285697937
592,0.054129798,1,CNV,1,0,0.45843225717544556
593,0.01665282,1,CNV,1,0,0.5376245975494385
598,0.06683899,1,CNV,1,0,0.29673174023628235
600,0.08710496,1,CNV,1,0,0.6583750247955322
603,0.02785542,1,CNV,1,0,0.6847866177558899
604,0.1561345,1,CNV,1,0,0.703470766544342
605,0.60918677,1,CNV,2,1,0.6673666834831238
609,0.15574534,1,CNV,1,0,0.5408774614334106
611,0.17481573,1,CNV,1,0,0.6342431306838989
612,0.019449001,1,CNV,1,0,0.395031213760376
613,0.09762202,1,CNV,1,0,0.4441528916358948
615,0.4054793,1,CNV,1,0,0.5136581063270569
616,0.18723334,1,CNV,1,0,0.362895667552948
625,0.2660612,1,CNV,1,0,0.7054394483566284
626,0.3250363,1,CNV,1,0,0.6263640522956848
